name,code,professor,school,description,semester,day,time,term
Reading and Research,RELIGION 3001 36,Jordan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 036,Kloppenberg,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 40,Madigan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 039,Logevall,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 041,Martin,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 044,Miles,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 45,West,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 048,Plokhii,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 050,Rothschild,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 08,Engell,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 054,Donahue,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 10,Abe,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 057,Ragab,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 13,Gyatso,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 008,Brown,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2021 Spring,,,Full Term
Reading and Research,RELIGION 3001 17,Hollywood,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 015,de la Fuente,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 23,Rivera,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 020,Faust,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 25,Sanchez,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 027,Higginbotham,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 030,Jasanoff,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 031,Frank Johnson,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 32,Braude,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 033,Kafadar,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 36,Jordan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 036,Kloppenberg,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 40,Madigan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 039,Logevall,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 041,Martin,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 044,Miles,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 45,West,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 048,Plokhii,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 050,Rothschild,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 08,Engell,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 054,Donahue,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 10,Abe,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 057,Ragab,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 13,Gyatso,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 008,Brown,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2021 Spring,,,Full Term
Reading and Research,RELIGION 3001 17,Hollywood,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 015,de la Fuente,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 23,Rivera,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 020,Faust,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 25,Sanchez,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 027,Higginbotham,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 030,Jasanoff,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 031,Frank Johnson,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 32,Braude,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 033,Kafadar,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 36,Jordan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 036,Kloppenberg,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 40,Madigan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 039,Logevall,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 041,Martin,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 044,Miles,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 45,West,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 048,Plokhii,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 050,Rothschild,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 08,Engell,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 054,Donahue,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 10,Abe,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 057,Ragab,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 13,Gyatso,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 008,Brown,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2021 Spring,,,Full Term
Reading and Research,RELIGION 3001 17,Hollywood,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 015,de la Fuente,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 23,Rivera,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 020,Faust,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 25,Sanchez,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 027,Higginbotham,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 030,Jasanoff,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 031,Frank Johnson,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 32,Braude,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 033,Kafadar,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 36,Jordan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 036,Kloppenberg,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 40,Madigan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 039,Logevall,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 041,Martin,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 044,Miles,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 45,West,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 048,Plokhii,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 050,Rothschild,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 08,Engell,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 054,Donahue,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 10,Abe,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 057,Ragab,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 13,Gyatso,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 008,Brown,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2021 Spring,,,Full Term
Reading and Research,RELIGION 3001 17,Hollywood,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 015,de la Fuente,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 23,Rivera,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 020,Faust,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 25,Sanchez,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 027,Higginbotham,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 030,Jasanoff,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 031,Frank Johnson,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 32,Braude,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 033,Kafadar,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 36,Jordan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 036,Kloppenberg,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 40,Madigan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 039,Logevall,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 041,Martin,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 044,Miles,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 45,West,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 048,Plokhii,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 050,Rothschild,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 08,Engell,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 054,Donahue,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 10,Abe,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 057,Ragab,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 13,Gyatso,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 008,Brown,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2021 Spring,,,Full Term
Reading and Research,RELIGION 3001 17,Hollywood,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 015,de la Fuente,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 23,Rivera,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 020,Faust,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 25,Sanchez,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 027,Higginbotham,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 030,Jasanoff,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 031,Frank Johnson,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 32,Braude,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 033,Kafadar,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 36,Jordan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 036,Kloppenberg,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 40,Madigan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 039,Logevall,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 041,Martin,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 044,Miles,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 45,West,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 048,Plokhii,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 050,Rothschild,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 08,Engell,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 054,Donahue,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 10,Abe,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 057,Ragab,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 13,Gyatso,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 008,Brown,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2021 Spring,,,Full Term
Reading and Research,RELIGION 3001 17,Hollywood,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 015,de la Fuente,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 23,Rivera,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 020,Faust,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 25,Sanchez,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 027,Higginbotham,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 030,Jasanoff,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 031,Frank Johnson,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 32,Braude,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 033,Kafadar,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 36,Jordan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 036,Kloppenberg,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 40,Madigan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 039,Logevall,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 041,Martin,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 044,Miles,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 45,West,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 048,Plokhii,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 050,Rothschild,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 08,Engell,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 054,Donahue,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 10,Abe,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 057,Ragab,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 13,Gyatso,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 008,Brown,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2021 Spring,,,Full Term
Reading and Research,RELIGION 3001 17,Hollywood,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 015,de la Fuente,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 23,Rivera,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 020,Faust,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 25,Sanchez,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 027,Higginbotham,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 030,Jasanoff,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 031,Frank Johnson,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 32,Braude,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 033,Kafadar,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 36,Jordan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 036,Kloppenberg,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 40,Madigan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 039,Logevall,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 041,Martin,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 044,Miles,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 45,West,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 048,Plokhii,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 050,Rothschild,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 08,Engell,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 054,Donahue,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 10,Abe,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 057,Ragab,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 13,Gyatso,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 008,Brown,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2021 Spring,,,Full Term
Reading and Research,RELIGION 3001 17,Hollywood,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 015,de la Fuente,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 23,Rivera,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 020,Faust,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 25,Sanchez,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 027,Higginbotham,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 030,Jasanoff,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 031,Frank Johnson,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 32,Braude,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 033,Kafadar,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 36,Jordan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 036,Kloppenberg,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 40,Madigan,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 039,Logevall,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 041,Martin,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 044,Miles,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 45,West,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 048,Plokhii,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,HIST 3010 050,Rothschild,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 08,Engell,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 054,Donahue,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 10,Abe,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 057,Ragab,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 13,Gyatso,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 008,Brown,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2021 Spring,,,Full Term
Reading and Research,RELIGION 3001 17,Hollywood,FAS,,2021 Spring,,,Full Term
Reading and Research,HIST 3010 015,de la Fuente,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 23,Rivera,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 020,Faust,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
Reading and Research,RELIGION 3001 25,Sanchez,FAS,,2020 Fall,,,Full Term
Reading and Research,HIST 3010 027,Higginbotham,FAS,Instructors listed above under History 3010 supervise individual work in preparation for the General Examination for the PhD degree.,2020 Fall,,,Full Term
